Date,Speaker,crime_gt_score,economy_gt_score,elites_gt_score,people_gt_score,service_gt_score,they_gt_score,violence_gt_score,war_gt_score,we_gt_score
2019-01-01,Trump,,,,,,,,,
2019-02-01,Trump,0.4097069019855026,0.7721399306649859,0.2048534509927513,0.06303183107469272,0.1418216199180586,1.734174145040019,0.8824456350456981,0.07878978884336589,3.395585738539898
2019-03-01,Trump,0.07711289327575571,1.187538556446638,0.3392967304133251,0.04626773596545342,0.09253547193090685,2.62065953264905,0.4164096236890808,0.03084515731030228,3.570648613234331
2019-04-01,Trump,0.01542971763616726,1.91328498688474,0.1388674587255053,0.0,0.04628915290850177,1.754748142031379,0.478321246721185,0.1542971763616726,2.941783649876136
2019-05-01,Trump,0.1902949571836346,1.347922613384079,0.1902949571836346,0.03171582619727244,0.3488740881699968,1.767241379310345,0.6977481763399936,0.142721217887726,3.520114942528735
2019-06-01,Trump,0.2530444409299383,0.4744583267436343,0.03163055511624229,0.01581527755812115,0.2372291633718172,2.475601047369674,0.6958722125573304,0.09489166534872687,2.808855034515592
2019-07-01,Trump,0.01576292559899117,1.292559899117276,0.1261034047919294,0.01576292559899117,0.1103404791929382,3.313666855249333,0.362547288776797,0.2206809583858765,3.418734340903581
2019-08-01,Trump,0.07751937984496124,1.751937984496124,0.124031007751938,0.01550387596899225,0.07751937984496124,1.686842627505458,0.4496124031007752,0.09302325581395349,3.631672950982338
2019-09-01,Trump,0.0,2.337228714524207,0.04173622704507512,0.04173622704507512,0.2921535893155259,0.5258899676375405,0.333889816360601,0.1252086811352254,4.935275080906148
2019-10-01,Trump,0.1238965463837696,1.207991327241753,0.1858448195756543,0.06194827319188478,0.04646120489391358,2.453338464498749,1.115068917453926,0.2632801610655103,2.790071194920146
2019-11-01,Trump,0.1089833411178577,0.9185738751362292,0.4047952670091858,0.01556904873112253,0.2179666822357154,1.778455284552845,0.6694690954382687,0.1556904873112253,2.611788617886179
2019-12-01,Trump,0.1259842519685039,1.181102362204724,0.2677165354330708,0.01574803149606299,0.2834645669291339,2.801217920835146,0.5984251968503937,0.1889763779527559,3.323183993040452
2020-01-01,Trump,0.09405862987929142,1.457908763129017,0.07838219156607619,0.03135287662643048,0.03135287662643048,2.285467874083657,0.7367926007211162,0.1097350681925067,2.492453643811988
2020-02-01,Trump,0.1094091903719912,0.734604563926227,0.09377930603313535,0.04688965301656767,0.03125976867771178,2.281709044813959,1.203501094091904,0.3594873397936855,3.325628215643874
2020-03-01,Trump,0.1426533523537803,0.9034712315739419,0.1743540973212871,0.06340148993501347,0.1902044698050404,1.317982123920618,1.204628308765256,0.2536059597400539,2.651113467656416
2020-04-01,Trump,,,,,,,,,
2020-05-01,Trump,0.0,1.77276390008058,0.0,0.02686005909213,0.13430029546065,1.583820662768031,0.51034112275047,0.10744023636852,3.508771929824561
2020-06-01,Trump,0.0,1.442176870748299,0.0272108843537415,0.0272108843537415,0.108843537414966,1.360712518555171,1.170068027210884,0.9251700680272109,3.463631865413161
2020-07-01,Trump,,,,,,,,,
2020-08-01,Trump,0.2640161515763317,0.9318217114458768,0.1242428948594502,0.01553036185743128,0.3106072371486255,2.153721900659577,0.9939431588756018,0.1708339804317441,3.190200565351999
2020-09-01,Trump,0.1432208784213876,0.7797581158497772,0.1113940165499682,0.0,0.302355187778485,1.844724618447246,0.9388924252068745,0.1432208784213876,3.145321831453218
2020-10-01,Trump,0.223463687150838,0.9257781324820431,0.111731843575419,0.03192338387869114,0.2394253790901835,1.895551257253385,1.165203511572227,0.223463687150838,3.313990973565442
2020-11-01,Trump,0.04658385093167702,0.9937888198757764,0.2018633540372671,0.0,0.09316770186335403,1.908638625056535,0.4503105590062111,0.07763975155279502,3.627317955676165
2020-12-01,Trump,0.0473260766682442,0.4101593311247831,0.1419782300047326,0.01577535888941474,0.0473260766682442,3.011485042735043,0.6783404322448336,0.1419782300047326,3.445512820512821
2019-01-01,Biden,,,,,,,,,
2019-02-01,Biden,,,,,,,,,
2019-03-01,Biden,0.0,0.527490363156827,0.04057618178129438,0.0,0.2231689997971191,1.349007515899017,0.2434570906877663,0.08115236356258876,3.044902678743496
2019-04-01,Biden,0.04004004004004004,1.521521521521521,0.06006006006006006,0.02002002002002002,0.5605605605605605,1.706484641638225,0.2802802802802802,0.1001001001001001,2.711414486158513
2019-05-01,Biden,0.0,0.7928118393234672,0.1849894291754757,0.05285412262156448,0.105708245243129,1.165146909827761,0.5021141649048625,0.07928118393234672,4.154002026342452
2019-06-01,Biden,0.04532064355313845,1.223657375934738,0.1359619306594154,0.1586222524359846,0.3172445048719692,1.737619461337967,0.5438477226376615,0.0906412871062769,3.366637706342311
2019-07-01,Biden,0.03259452411994785,0.3585397653194263,0.0,0.0,0.3911342894393742,1.316998468606432,0.4563233376792699,0.1955671447196871,2.327718223583461
2019-08-01,Biden,0.0,1.125,0.0625,0.03125,0.375,0.9674582233948988,0.5,0.21875,2.843740838463794
2019-09-01,Biden,0.06657789613848203,1.131824234354194,0.06657789613848203,0.0,0.4660452729693742,1.077313054499366,0.7323568575233023,0.2663115845539281,3.358681875792142
2019-10-01,Biden,0.06991784653032686,1.520713162034609,0.01747946163258171,0.0,0.7166579269358504,1.059251903343264,0.5943016955077784,0.08739730816290858,1.936444885799404
2019-11-01,Biden,0.0,0.6297229219143577,0.0,0.0,0.8816120906801008,1.428571428571429,0.2518891687657431,0.1259445843828715,3.690476190476191
2019-12-01,Biden,0.0,1.134062373430539,0.0,0.0,0.04050222762251924,1.388888888888889,0.2835155933576347,0.162008910490077,3.047839506172839
2020-01-01,Biden,0.0238038562247084,0.2856462746965008,0.119019281123542,0.0238038562247084,0.2142347060223756,1.333634719710669,0.6665079742918353,0.119019281123542,2.554249547920434
2020-02-01,Biden,0.0725163161711385,0.5076142131979695,0.0,0.0725163161711385,0.2175489485134155,1.013513513513514,0.9427121102248005,0.2175489485134155,4.72972972972973
2020-03-01,Biden,0.0,0.2886002886002886,0.0,0.07215007215007214,0.2164502164502164,0.8940852819807428,0.4329004329004329,0.07215007215007214,4.883081155433287
2020-04-01,Biden,,,,,,,,,
2020-05-01,Biden,,,,,,,,,
2020-06-01,Biden,0.0,0.9935419771485345,0.09935419771485346,0.2483854942871336,0.2483854942871336,1.641718976339932,0.8445106805762544,0.09935419771485346,2.172863351038146
2020-07-01,Biden,0.02663825253063399,2.583910495471497,0.07991475759190196,0.106553010122536,0.2663825253063399,1.456310679611651,0.3995737879595098,0.13319126265317,2.554931016862545
2020-08-01,Biden,0.06563833278634722,1.214309156547424,0.06563833278634722,0.0,0.2625533311453889,0.823924321025328,0.7548408270429932,0.1969149983590417,4.150137320720171
2020-09-01,Biden,0.0,1.529132612707619,0.1581861323490641,0.05272871078302136,0.3427366200896388,1.362604087812263,0.4481940416556816,0.07909306617453203,1.74110522331567
2020-10-01,Biden,0.0,0.9242801279772485,0.1421969427657305,0.2132954141485958,0.2488446498400284,1.022146507666099,0.5687877710629221,0.2488446498400284,1.976149914821124
2020-11-01,Biden,0.1236476043276662,1.020092735703246,0.1545595054095827,0.1236476043276662,0.4636785162287481,1.104815864022663,0.6800618238021638,0.06182380216383308,1.756373937677054
2020-12-01,Biden,,,,,,,,,
